"ogc_fid","identifier","far_idx","cov_idx","align_idx","wall_idx","comp_idx","net_idx","age_idx","count11","k8cls","k8cls_sm3","k8cls_sm6","k8cls_sm9","wkb_geometry"
6644,"8a390ca25537fff",0.481262398938648,0.155062806046274,0.00923161906622121,0.0448515316444677,1.18054120114071,0.028010111918333,33.0,6.0,1,1,1,1,"MULTIPOLYGON (((445112.5545762585 4477520.169646634, 445101.9767660939 4477442.321033298, 445031.974647852 4477414.305961814, 444972.5529615854 4477464.361964662, 444983.13209461444 4477542.210411077, 445053.133220104 4477570.22502145, 445112.5545762585 4477520.169646634)))"
6645,"8a390ca25867fff",0.398273954265141,0.205021360909561,0.00923161906622121,0.0110569487739848,1.190917390386,0.00986692108165905,35.0,7.0,1,1,1,1,"MULTIPOLYGON (((445981.8067160314 4479046.284807138, 445971.2397266538 4478968.434893029, 445901.2551242061 4478940.411804131, 445841.8401083447 4478990.461090773, 445852.4084209117 4479068.310837883, 445922.39203022455 4479096.333465688, 445981.8067160314 4479046.284807138)))"
6646,"8a390ca2586ffff",0.595619376664992,0.239599210600194,0.0004393590382884,0.0331502127621746,0.94636950767209,0.0181672550199071,24.0,7.0,1,1,1,1,"MULTIPOLYGON (((446111.2057356675 4479024.2610213915, 446100.6400694668 4478946.4109402755, 446030.65576827485 4478918.386645392, 445971.2397266538 4478968.434893029, 445981.8067160314 4479046.284807138, 446051.7900240784 4479074.308640937, 446111.2057356675 4479024.2610213915)))"
6647,"8a390ca258b7fff",0.413403300220517,0.184199275042153,0.00923161906622121,0.00497103848082176,0.963564564448299,0.0159814758640419,29.0,7.0,1,1,1,1,"MULTIPOLYGON (((445449.5357949255 4478539.072922116, 445438.96186313505 4478461.112758815, 445368.9712974383 4478433.205601116, 445309.5548474656 4478483.148067746, 445320.1301042752 4478561.108064099, 445390.1196762336 4478589.014760664, 445449.5357949255 4478539.072922116)))"
6648,"8a390ca258cffff",0.342519565530003,0.179824335396206,0.0003606168055779,0.0138140493524481,1.0823868875202,0.0171125026230431,28.0,7.0,1,1,1,1,"MULTIPOLYGON (((446047.72154553013 4478556.828478148, 446037.15387678734 4478478.867530182, 445967.1658015087 4478450.954803787, 445907.7455878389 4478500.892486377, 445918.31458157185 4478578.853267355, 445988.3016630437 4478606.765532648, 446047.72154553013 4478556.828478148)))"
6649,"8a390ca25a0ffff",0.377490082861689,0.199865494240724,0.00923161906622121,0.0227089966799168,1.08903769895378,0.0236878068630522,22.0,7.0,1,1,1,1,"MULTIPOLYGON (((446726.36279246723 4478680.402291625, 446715.8031390226 4478602.551442161, 446645.81805577845 4478574.52140282, 446586.3952009351 4478624.564674143, 446596.95617743843 4478702.415356564, 446666.9394767656 4478730.333934768, 446726.36279246723 4478680.402291625)))"
6650,"8a390ca25a57fff",0.689578901666178,0.291256570114551,0.0009386537208323,0.063572927850042,0.862310508380825,0.0192099940725521,24.0,7.0,1,1,1,1,"MULTIPOLYGON (((446855.77013203263 4478658.391471607, 446845.21101354563 4478580.429455033, 446775.2270195703 4478552.509209783, 446715.8031390226 4478602.551442161, 446726.36279246723 4478680.402291625, 446796.34579252824 4478708.322075815, 446855.77013203263 4478658.391471607)))"
6651,"8a390ca25b1ffff",0.271642592381674,0.166732487673899,0.00923161906622121,0.0448515316444677,1.33996980486163,0.00946994025959331,33.0,7.0,1,1,1,1,"MULTIPOLYGON (((446418.7772607999 4478852.325245887, 446408.21460108046 4478774.474780616, 446338.22990889533 4478746.447613487, 446278.81046059245 4478796.493372929, 446289.37444342964 4478874.343671177, 446359.357347095 4478902.259377109, 446418.7772607999 4478852.325245887)))"
6652,"8a390ca25d4ffff",0.257171877574042,0.133767133580373,0.00923161906622121,0.00387965490455438,1.15636831886474,0.0219312065998456,36.0,6.0,1,1,1,1,"MULTIPOLYGON (((445368.9712974383 4478433.205601116, 445358.39640267135 4478355.245554576, 445288.4045439058 4478327.339141698, 445228.987762645 4478377.2822364075, 445239.56398240954 4478455.242116008, 445309.5548474656 4478483.148067746, 445368.9712974383 4478433.205601116)))"
6653,"8a390ca26007fff",2.37290351339331,0.309246902692074,0.0187243665511426,0.0830163377441994,1.09911536839638,0.0192003228416438,90.0,6.0,6,6,6,6,"MULTIPOLYGON (((442870.68658064323 4475150.966333329, 442860.0818535186 4475073.009903183, 442790.04991739534 4475045.126571716, 442730.6228540942 4475095.089131981, 442741.22890555154 4475173.045395399, 442811.2598488567 4475200.92826565, 442870.68658064323 4475150.966333329)))"
